_id,Ward,Sub_ward,Cluster_Wote,Cluster_Nziu,Project_ID,Project_Name_or_Title,Project_Description,Category,Type_of_facility,What_type_of_facility_or_project_is_it,What_is_the_project_s_apparent_status,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y
21741244,wote,wote,Malivani,,4,Malivani public toilet ,Construction of public toilet ,health,public_toilet,,completed,Adequate,"Improved sanitation, "
21749150,wote,nziu,,Nziu,6,Nziu borehole ,Drilling and equipping of Nziu borehole,water_irrigati,borehole,,completed,Excellent,Easy access to clean drinking water and for domestic use. 
21748925,wote,nziu,,Nziu,6,Nziu bodaboda shed,Nziu bodaboda shed,gender,Other_1,Bodaboda shed,completed,Excellent,Provided shed for the motorcycle operators. 
21748436,wote,nziu,,Nziu,5,Casualty block - Nziu health centre ,Construction of a casualty block,health,Other_1,Casualty block ,completed,Excellent,Provided accessible health services
21748410,wote,nziu,,Nziu,4,Staff quarters ,Construction of staff quarters ,health,Other_1,Staff quarters,completed,Excellent,Has provided house for the staff hence easy for the community to access their service any time of the day. 
21748233,wote,nziu,,Nziu,2,Yamuthinzi earth dam,Construction of an earth dam,water_irrigati,earth_dam,,completed,Excellent,Provided sufficient water for irrigation and domestic use
21748096,wote,nziu,,Nziu,1,Nziu social hall,Well maintained  hall serving people's purpose within the sub county,gender,social_hall,,completed,Excellent,It's of good quality.  Provided a room for community gathering. 
21746955,wote,wote,Wote_town,,19,First ladys office,Renovations and furniture,devolution,Other_1,First ladys office,completed,Adequate,"Accessible to wananchi,the offices quality is good"
21746834,wote,wote,Wote_town,,18,KMTC makueni campus,Construction of blocks,education,Other_1,KMTC,completed,Poor,Small for the demand for education.
21746644,wote,wote,Wote_town,,17,PWD centre,Construction of the PWD centre,gender,Other_1,PWD centre,in_progress,Adequate,The completed buildings are good but others are underway to cater for PWDs.
21746207,wote,wote,Wote_town,,16,Boda boda shed,Construction,gender,Other_1,Boda boda shed,completed,Adequate,It is useful to atleast 10 operators.
21746173,wote,wote,Wote_town,,15,Boda boda shed,Construction,gender,Other_1,Construction the shed,completed,Adequate,Serving atleast 10 operators
21746120,wote,wote,Wote_town,,14,Motorbike,Purchase of motorbikes,water_irrigati,Other_1,Purchase of motorbikes,completed,Adequate,Help access areas that  were inaccessible earlier.
21745918,wote,wote,Wote_town,,13,Sub administrators,Purchase of office furniture,devolution,Other_1,Sub ward administrators,completed,Adequate,The office has good furniture to serve clients
21745797,wote,wote,Wote_town,,12,County cic,Computer purchasing,education,Other_1,Community information centre,completed,Adequate,Has 5 computers that help collect information.
21745625,wote,wote,Wote_town,,11,Boda boda shed,Construction,gender,Other_1,Boda boda shed,completed,Adequate,It is serving atleast 10 bodaboda operators
21745593,wote,wote,Wote_town,,10,Bodaboda shed opposite jimeli supermarket,Construction,gender,Other_1,Bodaboda shed,completed,Adequate,It is serving atleast 10 bodaboda operators.
21745569,wote,wote,Wote_town,,9,Kasarani boda boda shed,Construction,gender,Other_1,Bodaboda shed,completed,Adequate,Serving atleast 10 boda boda operators
21748359,wote,nziu,,Nziu,3,Maternity block-Nziu health centre,Construction and equipping of a maternity block,health,maternity_ward,,completed,Excellent,Provided accessible service to the community
