is_in:village,Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_marigat,Sub_Location_Kiponjos,Sub_Location_Bekibon,Sub_Location_Tuluongoi,Sub_Location_Kimalel,Sub_Location_Kimondis,Sub_Location_Sokta,Sub_Location_Ewalel_Soi,Sub_ward_location,Sub_location_Mogotio,Sub_location_ngubereti,Sub_location_Sirwa,Sub_location_Koitebes_Kimngorom,Sub_location_Kiptoim,Sub_location_Rosoga,PB_or_HQ,Project_Name,Additional_Project_Details,,,Budgeted sum,wb_pb:id,added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Projects_that_have_been_completed,projects_that_have_not_yet_started,projects_that_have_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,image:project,Notes corrections on Kobo,zack's comment/feedback/correction,Validation Status on Kobo
Kibingor,yes,marigat,kimondis,,,,,,kibingor,,,,,,,,,,HQ,Kibingor Dispensary,Construction of a maternity block,,,1000000,131,,HS,dispensary,,completed,non_operationa,,,adequate,It is well built but not functional,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568282784464.jpg,"Corrected project name, fixed Dep",,Approved
Bekibon,yes,marigat,bekibon,,,tinomoi,,,,,,,,,,,,,PB,Bekibon dispensary,Renovation works at Bekibon dispensary: painting of the walls,,,500000,132,,HS,dispensary,,completed,operational,,,adequate,Painting of Bekibon dispensary has improved the appearance of the facility.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568195113388.jpg,Fixed department and corrected spelling mistakes,,Approved
Sabor,yes,marigat,kimalel,,,,,sabor,,,,,,,,,,,HQ,Sabor Dispensary,Renovation of Sabor Dispesary,,,1000000,134,,HS,dispensary,,completed,operational,,,excellent,Well furnished,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568363850818.jpg,Corrected spelling mistake,,Approved
Sirwet,yes,marigat,kiponjos,,kaptich,,,,,,,,,,,,,,PB,Kapkures Dispensary,Extension of dispensary. One extra room,,,1000000,135,,HS,dispensary,,completed,operational,,,adequate,The extended room is well constructed and will create more room for the dispensary operations.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568822943938.jpg,Corrected spaces in between words,Approved,
Bekibon,yes,marigat,bekibon,,,tinomoi,,,,,,,,,,,,,PB,Bekibon dispensary-maternity,Renovation of maternity wing,,,,140,,HS,dispensary,,on_going,,,,adequate,Building is under renovation and after completion it will improve the quality of the structure. The use of the facility will help reduce mortality rate in the area.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568194798631.jpg,"Fixed department, and left ""maternity"" in the project name to distinguish from 132",,Approved
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Marigat Sub County Hospital,Construction Of Mortuary,,,,142,122,HS,Other_1,Mortuary,on_going,,,,adequate,Construction is ongoing. There is no window panes. There are no tiles,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568279207012.jpg,"Zack, see comment on ID",The correct project is 142,
Bekibon,yes,marigat,bekibon,,,buiwon,,,,,,,,,,,,,PB,Bekibon Storage Tank,Installation of Water storage tank,,,,144,144,WI,Water_project,,completed,operational,,,excellent,It's serving the school but it's a small tank.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568109836407.jpg,"Corrected project name, fixed Dep and spelling mistakes",,Approved
Parkaren,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Parkarin ECDE,Construction Of ECDE Centerpiece,,,,145,200,EDU,ecde_centre,,completed,operational,,,excellent,1. It has generated jobs for teachers. 2. It has also created a conducive environment for the learners,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568032998385.jpg,Corrected ID and fixed Dep,,Approved
Town A,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,PB,Sub County Referral Hospital,Construction of General wards,,,,146,124,HS,hospital,,stalled,,,low_budget,excellent,The structure of the buildings are of good quality also it's spacious to accomodate the community,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568033967704.jpg,"Not yet corrected, waiting for Zack feedback on proj ID","The id was changed to 146...124 is what they had added in the field --> okay, corrected project name, grammar, proj ID and fixed Dep",Approved
Kabusa,yes,marigat,ewalel_soi,,,,,,,,kabusa,,,,,,,,PB,Seguitonin ECDE,Construction of ECDE classroom.,,,,147,125,EDU,ecde_centre,,completed,operational,,,adequate,"The projects needs rennovation of windows panes, floor and desks.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568111195065.jpg,"Corrected ID, fixed Dep",,Approved
Barsemoi,yes,marigat,ewalel_soi,,,,,,,,kabusa,,,,,,,,PB,Barsemoi Dispensary,Construction of maternity ward and equipping of dispensary.,,,5452701,148,126,HS,dispensary,,completed,operational,,,excellent,"The facility is excellent but requires repairing of ceiling, painting of roofs, supply of water and additional staff.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568114914970.jpg,"Corrected project name, spelling mistakes, ID and fixed Dep",,Approved
Kimalel,yes,marigat,kimalel,,,,,kimalel,,,,,,,,,,,PB,Kimalel Dispensary Borehole,Drilling and Piping of borehole,,,,149,127,WI,borehole,,completed,operational,,,excellent,It's working well and community is using,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568042618403.jpg,no. 149 both on 10/09 and 17/18/19: which one is correct to keep? + to correct ID,"This is the one that needs to be removed, it was re-done that's why it is appearing on 17/18 -> Ok, flagged as not approved and not modified",Not Approved
Kimalel,yes,marigat,kimalel,,,,,kimalel,,,,,,,,,,,PB,Kimalel Dispensary Borehole,Drilling and Equipping,,,,149,,WI,borehole,,completed,operational,,,excellent,The project is excellent just needs more piping and clearing of the bush around it,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568713906249.jpg,"no. 149 both on 10/09 and 17/18/19: this one is correct to keep according to Zack comment on 10/09, so corrected grammar.",Approved,
Tinomoi,yes,marigat,bekibon,,,tinomoi,,,,,,,,,,,,,PB,Tinomoi Dispensary,Construction of Tinomoi dispensary.,,,,153,146,HS,dispensary,,completed,operational,,,adequate,The structure is well built but lack of water is the main challenge,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568195813297.jpg,"Not yet corrected, waiting for Zack feedback on ID","It should be 153 --> okay, then corrected capitalization, ID, grammar and fixed Dep",Approved
Katkamuma,yes,marigat,bekibon,,,tinomoi,,,,,,,,,,,,,PB,Katkamuma ECDE,Construction of ECDE Classroom,,,,155,200,EDU,ecde_centre,,completed,operational,,,excellent,The structure is well built and used by the school.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568195598378.jpg,"Not yet corrected, waiting for Zack feedback on ID","It corrected to 155 --> okay, then corrected ECDE, fixed Dep and corrected ID",Approved
Loberer,yes,marigat,marigat,yatoi,,,,,,,,,,,,,,,HQ,Loberer ECDE,Construction of ECDE Classroom,,,,156,1000,EDU,ecde_centre,,completed,operational,,,excellent,The building is well done and is conducive for learning.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568115360672.jpg,Corrected ID and fixed Dep,,Approved
Ketipterkek,yes,marigat,kimondis,,,,,,kibingor,,,,,,,,,,HQ,Katepterkek Irrigation Scheme,Plantation and irrigation of food crops,,,,157,,ALF,irrigation_scheme,,completed,operational,,,excellent,1. It provides enough water for irrigating the crops even during dry seasons. 2. It promotes food security in the region.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568277520636.jpg,"Zack, see comment on Dep: here it was wrongly indicated as WI","It should be under ALF, the list was updated after they had collected the data --> okay, corrected project name, grammar and ALF as Dep",Approved
Ngosonik,yes,marigat,marigat,perkera,,,,,,,,,,,,,,,HQ,Kamarura ECDE,Construction Of ECDE Classroom,,,3953070,161,,EDU,ecde_centre,,completed,operational,,,excellent,1.Parents are relived because their children are no longer trekking for long distance 2.The building is well done 3.The floor is well but there are no chairs and desks for the pupils.,,Corrected space in between word. It doesn't have a picture,,Approved
R5,yes,marigat,marigat,perkera,,,,,,,,,,,,,,,HQ,Kapkiruk Cattle Dip,Building Of Cattle Dip,,,,162,,AGLF,Other_1,Cattle Dip,completed,operational,,,excellent,1.Well built but community wants the cattle dip to be renovated 2.They want a place to put the wastage 3.Fencing is needed,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568361384761.jpg,Corrected grammar,,Approved
Sogon,yes,marigat,sokta,,,,,,,sogon,,,,,,,,,PB,Sogon Dispensary,Construction and equipping,,,,164,164,HS,dispensary,,completed,operational,,,excellent,It is well equiped and offers all the medical services that community needs but they require a maternity wing.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568280990362.jpg,"Fixed Dep, corrected spelling mistake",,Approved
Kabirmet,yes,marigat,sokta,,,,,,,moikutwo,,,,,,,,,PB,Kabirmet Primary School,Construction of ECDE classroom,,,,165,165,EDU,ecde_centre,,completed,non_operationa,,,adequate,"The project is not operational since it needs cracked floor repairs, electrification, equiping of desks and chairs.Once these repairs are done the pupils will move from the old classroms that are congested hence having enough space for learning.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568369206048.jpg,"Corrected project name, added spaces in between words",,Approved
Kimale,yes,marigat,kimalel,,,,,kimalel,,,,,,,,,,,HQ,Kimalel Cultural Centre,Kimalel Cultural Centre Fences,,,,202,,SCG,Other_1,Fence,completed,operational,,,excellent,The fence is well erected and will prevent intruders from accessing the centre,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568725442931.jpg,Corrected grammar,,Approved
Kimalel,yes,marigat,kimalel,,,,,kimalel,,,,,,,,,,,HQ,Kimalel Cultural Centre,Construction of Water Tank Support,,,,203,,SCG,Water_project,,completed,operational,,,excellent,The tank support is firm to hold the plastic tank.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568710220259.jpg,Nothing,,Approved
Kimalel,yes,marigat,kimalel,,,,,kimalel,,,,,,,,,,,HQ,Kimalel Cultural Centre,Line 3 door Pit Latrine,,,,204,,SCG,public_toilet,,completed,operational,,,excellent,The toilet is built with quality materials that are firm.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568711431630.jpg,Nothing,,Approved
Kimalel,yes,marigat,kimalel,,,,,kimalel,,,,,,,,,,,HQ,Kimalel Cultural Centre,Construction of Septic Tank Sewer line,,,,206,,SCG,Other_1,Septic Tank,completed,operational,,,excellent,Constructed with quality material and is well sealed,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568713075342.jpg,no.206 repeated twice in this same day,,
Kapkun South,yes,marigat,kimalel,,,,,sabor,,,,,,,,,,,PB,Mangar water project,"Conctruction of storage tank, piping and installation of solar panels",,,,206,,WI,Water_project,,on_going,,,,poor,The project needs detail investigation on its logFrame and theory based evaluation.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568801138043.jpg,no.206 repeated twice in this same day,,
Barng'elech,yes,marigat,kimondis,,,,,,kibingor,,,,,,,,,,HQ,Barng'elech ECDE,Construction of ECDE Classroom,,,,211,211,EDU,ecde_centre,,completed,operational,,,adequate,The structure is complete and functional but there is inadequate water supply. The ECDE promotes early childhood education in the area. There is no electricity connection,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1568288185717.jpg,Added only space in between words,,Approved
